Date, Open, High, Low, Close
02/05/20, 29048.73, 29308.89, 29000.85, 29290.85
02/04/20, 28696.74, 28904.88, 28696.74, 28807.63
02/03/20, 28319.65, 28630.39, 28319.65, 28399.81
01/31/20, 28813.04, 28813.04, 28169.53, 28256.03
01/30/20, 28640.16, 28879.71, 28489.76, 28859.44
01/29/20, 28820.53, 28944.24, 28728.19, 28734.45
01/28/20, 28594.28, 28823.23, 28575.75, 28722.85
01/27/20, 28542.49, 28671.79, 28440.47, 28535.80
01/24/20, 29230.39, 29288.79, 28843.31, 28989.73
01/23/20, 29111.02, 29190.47, 28966.98, 29160.09
01/22/20, 29263.63, 29320.20, 29172.26, 29186.27
01/21/20, 29269.05, 29341.21, 29146.47, 29196.04
01/17/20, 29313.31, 29373.62, 29289.91, 29348.10
01/16/20, 29131.95, 29300.32, 29131.95, 29297.64
01/15/20, 28901.80, 29127.59, 28897.35, 29030.22
01/14/20, 28895.50, 29054.16, 28872.27, 28939.67
01/13/20, 28869.01, 28909.91, 28819.43, 28907.05
01/10/20, 28977.52, 29009.07, 28789.10, 28823.77
01/09/20, 28851.97, 28988.01, 28844.31, 28956.90
01/08/20, 28556.14, 28866.18, 28522.51, 28745.09
01/07/20, 28639.18, 28685.50, 28565.28, 28583.68
01/06/20, 28465.50, 28708.02, 28418.63, 28703.38
01/03/20, 28553.33, 28716.31, 28500.36, 28634.88
01/02/20, 28638.97, 28872.80, 28627.77, 28868.80
12/31/19, 28414.64, 28547.35, 28376.49, 28538.44
12/30/19, 28654.76, 28664.69, 28428.98, 28462.14
12/27/19, 28675.34, 28701.66, 28608.98, 28645.26
12/26/19, 28539.46, 28624.10, 28535.15, 28621.39
12/24/19, 28572.57, 28576.80, 28503.21, 28515.45
12/23/19, 28491.78, 28582.49, 28491.78, 28551.53
12/20/19, 28608.64, 28608.64, 28445.60, 28455.09
12/19/19, 28278.31, 28381.48, 28278.24, 28376.96
12/18/19, 28291.44, 28323.25, 28239.28, 28239.28
12/17/19, 28221.75, 28328.63, 28220.56, 28267.16
12/16/19, 28191.67, 28337.49, 28191.67, 28235.89
12/13/19, 28123.64, 28290.73, 28028.32, 28135.38
12/12/19, 27898.34, 28224.95, 27859.87, 28132.05
12/11/19, 27867.31, 27925.50, 27801.80, 27911.30
12/10/19, 27900.65, 27949.02, 27804.00, 27881.72
12/09/19, 27987.05, 28010.42, 27906.14, 27909.60
12/06/19, 27839.68, 28035.85, 27839.68, 28015.06
12/05/19, 27736.05, 27745.20, 27562.80, 27677.79
12/04/19, 27634.63, 27727.45, 27612.08, 27649.78
12/03/19, 27501.98, 27524.74, 27325.13, 27502.81
12/02/19, 28109.74, 28109.84, 27782.35, 27783.04
11/29/19, 28103.16, 28119.51, 28042.53, 28051.41
11/27/19, 28156.47, 28174.97, 28075.23, 28164.00
11/26/19, 28080.75, 28146.02, 28042.21, 28121.68
11/25/19, 27917.77, 28068.69, 27917.77, 28066.47
11/22/19, 27831.23, 27898.46, 27773.98, 27875.62
11/21/19, 27820.28, 27828.33, 27708.34, 27766.29
11/20/19, 27879.55, 27897.28, 27675.28, 27821.09
11/19/19, 28079.76, 28090.21, 27894.52, 27934.02
11/18/19, 27993.22, 28040.97, 27969.24, 28036.22
11/15/19, 27843.54, 28004.89, 27843.54, 28004.89
11/14/19, 27757.20, 27800.71, 27676.97, 27781.96
11/13/19, 27622.04, 27806.40, 27587.20, 27783.59
11/12/19, 27701.59, 27770.86, 27635.32, 27691.49
11/11/19, 27580.66, 27714.39, 27517.67, 27691.49
11/08/19, 27686.20, 27694.95, 27578.97, 27681.24
11/07/19, 27590.16, 27774.67, 27590.16, 27674.80
11/06/19, 27502.74, 27526.05, 27407.81, 27492.56
11/05/19, 27500.23, 27560.36, 27453.55, 27492.63
11/04/19, 27402.06, 27517.58, 27402.06, 27462.11
11/01/19, 27142.95, 27347.43, 27142.95, 27347.36
